variable,mean_subscribers,mean_non,t_stat,p_value,cohens_d,significant_5pct
Q24_TrialLikelihood,3.96,2.57,24.11,0.0,1.613,True
AdoptionReadiness,3.08,2.3,21.38,0.0,1.422,True
Q22_WTP_INR,94.63,36.55,11.21,0.0,0.915,True
IncomeMidpoint_INR,36333.33,28643.36,5.16,0.0,0.413,True
Q13_Anxiety,3.33,2.87,5.73,0.0,0.397,True
Q17_WantsGuidance,3.95,3.64,5.15,0.0,0.354,True
Q18_SelfLiteracy,3.34,2.93,4.99,1e-06,0.354,True
Q15_LowConfidence,2.76,3.16,-4.94,1e-06,-0.35,True
FinDiscipline_Index,2.17,1.84,4.83,2e-06,0.344,True
NumAppsUsed,2.54,2.17,4.96,1e-06,0.34,True
NumCreditInstruments,1.24,1.0,3.94,9.2e-05,0.279,True
PainPoint_Index,3.14,2.95,3.02,0.002623,0.214,True
Q14_DiffSaving,3.19,2.94,2.87,0.004229,0.205,True
Q12_NumGoals,1.73,1.49,2.61,0.009229,0.187,True
Q7_SavingsRate_Code,1.84,1.63,2.43,0.015619,0.175,True
NumFeaturesWanted,3.51,3.37,2.54,0.011255,0.165,True
Q16_AppsComplex,2.91,3.05,-2.33,0.019929,-0.164,True
Q1_Age,26.66,26.08,1.46,0.144164,0.106,False
